Odds,Stance,Surfer,Country,Tier,Heat,Rank
5,REG,Filipe Toledo,BRA,A,4,3
6,GFY,Gabriel Medina,BRA,A,6,1
6.5,,John John Florence,,B,12,13
7,REG,Julian Wilson,AUS,A,5,2
9,GFY,Italo Ferreira,BRA,A,3,4
15,REG,Jordy Smith,ZAF,A,2,5
21,GFY,Owen Wright,AUS,A,1,6
21,REG,Griffin Colapinto,USA,B,1,19
26,REG,Mikey Wright,AUS,B,12,12
26,,Kelly Slater,,C,3,33
34,REG,Kolohe Andino,USA,B,11,11
34,REG,Wade Carmichael,AUS,B,9,9
34,REG,Michel Bourez,PYF,A,8,8
36,,Jack Freestone,,C,2,32
41,REG,Conner Coffin,USA,A,7,7
41,,Ryan Callinan,Aus,B,6,24
51,REG,Kanoa Igarashi,JPN,B,10,10
51,REG,Jeremy Flores,FRA,B,8,17
61,GFY,Yago Dora,BRA,B,3,21
61,REG,Willian Cardoso,BRA,B,11,14
61,REG,Michael Rodrigues,BRA,B,9,16
67,GFY,Adrian Buchan,AUS,B,7,18
76,,Leonardo Fioravanti,,C,8,29
81,,Seth Moniz,,B,5,23
101,GFY,Joan Duru,FRA,B,4,22
101,GFY,Jesse Mendes,BRA,C,11,26
101,,Caio Ibelli,,C,4,34
101,,Soli Bailey,,C,1,31
101,,Ricardo Christie,,C,9,28
101,,Jadson Andre,,C,7,30
201,REG,Sebastian Zietz,HAW,B,10,15
201,REG,Ezekiel Lau,HAW,B,2,20
201,,?,,C,5,35
201,,??,,C,6,36
176,,Peterson Crisanto,,C,12,25
201,,Deivid Silva,,C,10,27
,,,,,,
