Odds,Stance,Surfer,Country,Tier,Heat,Rank
67,REG,Frederico Morais,PRT,B,1,19
16,REG,Jordy Smith,ZAF,A,1,6
13.5,REG,Kelly Slater,USA,C,1,31
12,GFY,Owen Wright,AUS,A,2,5
42.5,GFY,Yago Dora,BRA,B,2,20
121,GFY,Miguel Pupo,BRA,C,2,32
54,GFY,Joan Duru,FRA,B,3,21
15,GFY,Italo Ferreira,BRA,A,3,4
54,REG,Keanu Asing,HAW,C,3,33
16,REG,Filipe Toledo,BRA,A,4,3
46.5,GFY,Matt Wilkinson,AUS,B,4,22
66,REG,Caio Ibelli,BRA,C,4,34
8,REG,Julian Wilson,AUS,A,5,2
71,REG,Tomas Hermes,BRA,B,5,23
151,REG,Wildcard1,HAW,C,5,35
6,GFY,Gabriel Medina,BRA,A,6,1
151,REG,Wildcard2,HAW,C,6,36
59,GFY,Connor O'Leary,AUS,B,6,24
22,REG,Griffin Colapinto,USA,B,7,18
36,REG,Wade Carmichael,AUS,A,7,7
6.25,REG,John John Florence,HAW,C,7,30
24.5,REG,Kanoa Igarashi,JPN,A,8,8
86,REG,Michael February,ZAF,C,8,29
28.5,REG,Sebastian Zietz,HAW,B,8,17
51,REG,Ezekiel Lau,HAW,B,9,16
20,REG,Michel Bourez,PYF,B,9,9
66,GFY,Ian Gouveia,BRA,C,9,28
91,GFY,Jesse Mendes,BRA,C,10,27
51,REG,Conner Coffin,USA,B,10,10
15.5,REG,Jeremy Flores,FRA,B,10,15
37.5,GFY,Adrian Buchan,AUS,B,11,14
22,REG,Joel Parkinson,AUS,C,11,26
25,REG,Kolohe Andino,USA,B,11,11
46,REG,Willian Cardoso,BRA,B,12,12
59,REG,Michael Rodrigues,BRA,B,12,13
66,REG,Patrick Gudauskas,USA,C,12,25
