Odds,Stance,Surfer,Country,Tier,Heat,Rank
5,GFY,Gabriel Medina,BRA,A,6,1
5.5,REG,Julian Wilson,AUS,A,4,3
6.5,REG,Filipe Toledo,BRA,A,5,2
9,GFY,Italo Ferreira,BRA,A,3,4
12,REG,Jordy Smith,ZAF,A,2,5
15,GFY,Owen Wright,AUS,A,1,6
17,REG,Griffin Colapinto,USA,B,8,18
19,REG,Kolohe Andino,USA,B,9,10
21,REG,Sebastian Zietz,HAW,B,10,16
23,REG,Conner Coffin,USA,A,8,9
26,REG,Adriano de Souza,BRA,B,11,15
26,REG,Wade Carmichael,AUS,A,7,7
31,REG,Michel Bourez,PYF,B,12,13
31,GFY,Yago Dora,BRA,B,2,21
34,REG,Ezekiel Lau,HAW,B,1,20
34,REG,Kanoa Igarashi,JPN,B,11,12
34,REG,Willian Cardoso,BRA,B,10,11
36,GFY,Matt Wilkinson,AUS,C,11,28
41,GFY,Adrian Buchan,AUS,B,7,19
41,REG,Frederico Morais,PRT,B,3,22
41,,Wiggolly Dantas,BRA,C,3,38
41,,Vasco Ribeiro,,C,4,0
51,REG,Jeremy Flores,FRA,B,9,17
51,GFY,Connor O'Leary,AUS,B,4,23
51,REG,Michael Rodrigues,BRA,B,12,14
51,GFY,Joan Duru,FRA,C,8,33
51,REG,Patrick Gudauskas,USA,B,6,26
67,REG,Keanu Asing,HAW,C,2,37
67,GFY,Ian Gouveia,BRA,C,9,32
101,GFY,Miguel Pupo,BRA,C,7,35
101,REG,Michael February,ZAF,C,12,27
101,GFY,Jesse Mendes,BRA,C,10,31
101,,Miguel Blanco,,C,5,0
101,,Samuel Pupo,,C,6,0
151,,Mateia Hiquily,,,0,50
151,,Tikanui Smith,,,0,42
151,REG,Joel Parkinson,AUS,,0,25
151,REG,Mikey Wright,AUS,,0,8
101,REG,Tomas Hermes,BRA,B,5,24
36,,Ryan Callinan,,C,1,36
151,,Jorgann Couzinet,,,0,48
