Odds,Surfer,Heat,Tier
1,Mick Fanning,12,B
2,John John Florence,5,B
3,Julian Wilson,6,A
4,Filipe Toledo,1,A
5,Gabriel Medina,4,B
6,Jordy Smith,3,B
7,Owen Wright,2,A
8,Matt Wilkinson,8,C
9,Joel Parkinson,11,B
10,Griffin Colapinto,1,A
1,Kelly Slater,-,-
11,Adriano de Souza,7,B
12,Italo Ferreira,4,B
13,Adrian Buchan,10,A
14,Kolohe Andino,9,B
15,Conner Coffin,2,B
16,Jeremy Flores,8,B
17,Michel Bourez,7,A
18,Ezekiel Lau,2,C
19,Frederico Morias,9,B
20,Kanoa Igarashi,11,B
21,Michael Rodrigues,10,A
22,Conner Oleary,10,B
23,Caio Ibelli,3,C
24,Sebastian Zietz,12,C
25,Tomas Hermes,5,A
26,Wade Carmichael,11,B
27,Joan Duru,6,C
28,Mikey McDonagh,5,C
29,Carl Wright,6,C
30,Yago Dora,8,C
31,Jesse Mendes,12,C
32,Willian Cardoso,9,B
33,Keanu Asing,7,C
34,Patrick Gudauskas,3,C
35,Ian Gouveia,4,C
36,Michael Febrary,1,B
