Odds,Surfer,Heat,Tier
7,Mick Fanning,12,B
7,John John Florence,5,B
9,Julian Wilson,6,A
9,Filipe Toledo,1,A
12,Gabriel Medina,4,B
14,Jordy Smith,3,B
15,Owen Wright,2,A
21,Matt Wilkinson,8,C
21,Joel Parkinson,11,B
21,Griffin Colapinto,1,A
23,Kelly Slater,-,-
26,Adriano de Souza,7,B
26,Italo Ferreira,4,B
34,Adrian Buchan,10,A
34,Kolohe Andino,9,B
34,Conner Coffin,2,B
41,Jeremy Flores,8,B
41,Michel Bourez,7,A
51,Ezekiel Lau,2,C
51,Frederico Morias,9,B
51,Kanoa Igarashi,11,B
51,Michael Rodrigues,10,A
67,Conner Oleary,10,B
67,Caio Ibelli,3,C
67,Sebastian Zietz,12,C
81,Tomas Hermes,5,A
81,Wade Carmichael,11,B
101,Joan Duru,6,C
101,Mikey McDonagh,5,C
101,Carl Wright,6,C
101,Yago Dora,8,C
101,Jesse Mendes,12,C
101,Willian Cardoso,9,B
151,Keanu Asing,7,C
151,Patrick Gudauskas,3,C
151,Ian Gouveia,4,C
151,Michael Febrary,1,B
