Odds,Stance,Surfer,Country,Tier,Heat
5,REG,John John Florence,HAW,C,4
6,REG,Filipe Toledo,BRA,B,7
8,GFY,Gabriel Medina,BRA,A,5
8,REG,Julian Wilson,AUS,A,6
11,GFY,Italo Ferreira,BRA,A,10
11,GFY,Owen Wright,AUS,A,3
12,REG,Jordy Smith,ZAF,B,2
21,GFY,Matt Wilkinson,AUS,B,1
21,REG,Michel Bourez,PYF,A,12
23,REG,Joel Parkinson,AUS,B,12
26,REG,Adriano de Souza,BRA,B,8
26,REG,Kolohe Andino,USA,B,11
34,REG,Ezekiel Lau,HAW,B,11
41,GFY,Adrian Buchan,AUS,A,9
41,REG,Conner Coffin,USA,B,7
41,REG,Griffin Colapinto,USA,A,9
51,REG,Frederico Morais,PRT,B,11
51,REG,Jeremy Flores,FRA,B,
51,REG,Michael Rodrigues,BRA,B,10
51,REG,Mikey Wright,AUS,B,4
51,REG,Patrick Gudauskas,USA,B,12
51,REG,Sebastian Zietz,HAW,C,10
67,REG,Caio Ibelli,BRA,C,3
67,GFY,Connor O'Leary,AUS,C,1
67,REG,Kanoa Igarashi,JPN,B,8
81,REG,Tomas Hermes,BRA,A,2
81,REG,Wade Carmichael,AUS,B,4
101,GFY,Jesse Mendes,BRA,C,6
101,GFY,Joan Duru,FRA,C,5
101,REG,Willian Cardoso,BRA,B,9
101,GFY,Yago Dora,BRA,C,8
151,GFY,Ian Gouveia,BRA,C,2
151,REG,Keanu Asing,HAW,C,1
151,REG,Michael February,ZAF,C,7
151,GFY,Miguel Pupo,BRA,C,3
151,,Unknown1,,C,5
151,,Unknown2,,C,6
