Odds,Stance,Surfer,Country,Tier,Heat
151,,Alejo Muniz,BRA,,
51,GFY,Adrian Buchan,AUS,B,9
18,REG,Adriano de Souza,BRA,B,12
34,REG,Caio Ibelli,BRA,,
31,REG,Conner Coffin,USA,B,4
51,GFY,Connor O'Leary,AUS,C,6
151,,D Silva,,,
34,REG,Ezekiel Lau,HAW,A,2
5,REG,Filipe Toledo,BRA,A,4
67,REG,Frederico Morais,PRT,B,11
6,GFY,Gabriel Medina,BRA,A,5
18,REG,Griffin Colapinto,USA,B,9
34,GFY,Ian Gouveia,BRA,C,7
12,GFY,Italo Ferreira,BRA,A,1
51,REG,Jeremy Flores,FRA,B,7
81,GFY,Jesse Mendes,BRA,C,9
101,GFY,Joan Duru,FRA,C,8
41,REG,Joel Parkinson,AUS,C,1
6,REG,John John Florence,HAW,B,3
15,REG,Jordy Smith,ZAF,B,8
11,REG,Julian Wilson,AUS,A,6
34,REG,Kanoa Igarashi,JPN,B,8
101,REG,Keanu Asing,HAW,C,1
21,REG,Kolohe Andino,USA,B,7
31,GFY,Matt Wilkinson,AUS,C,10
81,REG,Michael February,ZAF,C,2
34,REG,Michael Rodrigues,BRA,B,3
26,REG,Michel Bourez,PYF,A,10
151,GFY,Miguel Pupo,BRA,C,3
51,REG,Mikey Wright,AUS,C,4
21,GFY,Owen Wright,AUS,A,2
51,REG,Patrick Gudauskas,USA,B,10
41,REG,Sebastian Zietz,HAW,B,12
81,REG,Tomas Hermes,BRA,B,5
151,,Wiggolly Dantas,BRA,,
81,REG,Wade Carmichael,AUS,A,11
51,REG,Willian Cardoso,BRA,B,11
23,GFY,Yago Dora,BRA,B,12
151,,Oney Anwar,IDN,C,6
151,REG,Barron Mamiya,HAW,C,5
151,REG,Kelly Slater,USA,C,
