Odds,Stance,Surfer,Country,Tier,Heat,Rank
151,,Ryan Calinan,,,5,100
151,,Jorgann Couzinet,,,6,101
5.333333333,REG,Filipe Toledo,BRA,A,6,1
4.666666667,GFY,Gabriel Medina,BRA,A,5,2
8.666666667,REG,Julian Wilson,AUS,A,4,3
12.66666667,GFY,Italo Ferreira,BRA,A,3,4
15.66666667,GFY,Owen Wright,AUS,A,2,5
12.33333333,REG,Jordy Smith,ZAF,A,1,6
23.66666667,REG,Wade Carmichael,AUS,A,7,7
21,REG,Kolohe Andino,USA,A,8,8
32.33333333,REG,Kanoa Igarashi,JPN,B,9,9
36.33333333,REG,Michel Bourez,PYF,B,10,10
40,REG,Mikey Wright,AUS,,11,11
44.33333333,REG,Willian Cardoso,BRA,B,12,12
44.33333333,REG,Jeremy Flores,FRA,B,12,13
51,REG,Conner Coffin,USA,B,11,14
19.66666667,REG,Griffin Colapinto,USA,B,10,15
56.33333333,REG,Michael Rodrigues,BRA,B,9,16
38.66666667,GFY,Adrian Buchan,AUS,B,8,17
36.33333333,REG,Adriano de Souza,BRA,B,7,18
67.66666667,REG,Ezekiel Lau,HAW,B,1,19
31.33333333,REG,Sebastian Zietz,HAW,B,2,20
45,GFY,Yago Dora,BRA,B,3,21
78.33333333,REG,Frederico Morais,PRT,B,4,22
97.66666667,REG,Tomas Hermes,BRA,B,5,23
51,GFY,Connor O'Leary,AUS,B,6,24
20,REG,Joel Parkinson,AUS,B,12,25
96,REG,Michael February,ZAF,C,11,27
81,GFY,Jesse Mendes,BRA,C,10,28
81,REG,Patrick Gudauskas,USA,C,9,30
91,GFY,Ian Gouveia,BRA,C,8,31
126,GFY,Miguel Pupo,BRA,C,7,33
39.66666667,GFY,Matt Wilkinson,AUS,C,1,34
41,GFY,Joan Duru,FRA,C,2,35
41,REG,Keanu Asing,HAW,C,3,36
81,,Wiggolly Dantas,BRA,C,4,37
151,,Tikanui Smith,,,0,41
151,,Mateia Hiquily,,,0,48
